temp,hum
2021-1-1-5-38,29.4,62.5
2021-1-1-5-39,29.4,62.2
2021-1-1-5-40,29.4,62.0
2021-1-1-5-41,29.5,62.5
2021-1-1-5-42,29.5,62.7
2021-1-1-5-43,29.5,62.7
2021-1-1-5-44,29.6,62.6
2021-1-1-5-45,29.7,62.4
2021-1-1-5-46,29.7,62.10001
2021-1-1-5-47,29.7,61.8
2021-1-1-5-48,29.7,61.5
2021-1-1-5-49,29.8,61.3
2021-1-1-5-50,29.9,61.1
2021-1-1-5-51,29.9,61.0
2021-1-1-5-52,29.9,60.9
2021-1-1-5-53,29.9,60.9
2021-1-1-5-54,29.9,60.8
2021-1-1-5-55,30.0,60.6
2021-1-1-5-56,30.0,60.5
2021-1-1-5-57,30.0,60.7
2021-1-1-5-58,30.0,60.8
2021-1-1-5-59,30.0,60.9
2021-1-1-6-0,30.0,60.7
2021-1-1-6-1,30.0,60.4
2021-1-1-6-2,30.0,60.2
2021-1-1-6-3,30.0,60.1
2021-1-1-6-4,30.0,60.1
2021-1-1-6-5,30.0,60.2
2021-1-1-6-6,30.0,60.3
2021-1-1-6-7,30.0,60.2
2021-1-1-6-8,30.0,60.2
2021-1-1-6-9,30.0,60.2
2021-1-1-6-10,30.0,60.0
2021-1-1-6-11,30.0,60.0
2021-1-1-6-12,30.0,60.1
2021-1-1-6-13,30.0,60.1
2021-1-1-6-14,30.1,60.2
2021-1-1-6-15,30.1,60.4
2021-1-1-6-16,30.1,60.5
2021-1-1-6-17,30.1,60.7
2021-1-1-6-18,30.1,60.8
2021-1-1-6-19,30.1,60.8
2021-1-1-6-20,30.1,60.8
2021-1-1-6-21,30.1,60.7
2021-1-1-6-22,30.1,60.6
2021-1-1-6-23,30.1,60.5
2021-1-1-6-24,30.1,60.2
2021-1-1-6-25,30.1,60.1
2021-1-1-6-26,30.1,60.5
2021-1-1-6-27,30.2,60.6
2021-1-1-6-28,30.2,61.0
2021-1-1-6-29,30.2,60.5
2021-1-1-6-30,30.2,59.9
2021-1-1-6-31,30.1,59.7
2021-1-1-6-32,30.1,59.8
2021-1-1-6-33,30.2,59.7
2021-1-1-6-34,30.1,59.9
2021-1-1-6-35,30.2,59.8
2021-1-1-6-36,30.2,60.0
2021-1-1-6-37,30.3,59.9
2021-1-1-6-38,30.3,60.1
2021-1-1-6-39,30.3,60.0
2021-1-1-6-40,30.3,60.0
2021-1-1-6-41,30.3,60.2
2021-1-1-6-42,30.3,60.0
2021-1-1-6-43,30.4,59.9
2021-1-1-6-44,30.4,59.9
2021-1-1-6-45,30.5,59.9
2021-1-1-6-46,30.5,59.9
2021-1-1-6-47,30.5,59.8
2021-1-1-6-48,30.5,58.9
2021-1-1-6-49,30.5,58.7
2021-1-1-6-50,30.5,58.7
2021-1-1-6-51,30.5,58.9
2021-1-1-6-52,30.5,59.1
2021-1-1-6-53,30.5,59.3
2021-1-1-6-54,30.5,59.5
2021-1-1-6-55,30.6,59.5
2021-1-1-6-56,30.6,59.5
2021-1-1-6-57,30.6,59.60001
2021-1-1-6-58,30.6,59.60001
2021-1-1-6-59,30.6,59.7
2021-1-1-7-0,30.7,59.7
2021-1-1-7-1,30.7,59.7
2021-1-1-7-2,30.7,59.5
2021-1-1-7-3,30.7,59.3
2021-1-1-7-4,30.7,59.4
2021-1-1-7-5,30.8,59.4
2021-1-1-7-6,30.8,59.1
2021-1-1-7-7,30.8,58.2
2021-1-1-7-8,30.8,58.3
2021-1-1-7-9,30.8,58.3
2021-1-1-7-10,30.8,57.8
2021-1-1-7-11,30.8,58.3
2021-1-1-7-12,30.8,57.9
2021-1-1-7-13,30.8,57.8
2021-1-1-7-14,30.8,57.6
2021-1-1-7-15,30.8,57.10001
2021-1-1-7-16,30.8,57.3
2021-1-1-7-17,30.8,56.9
2021-1-1-7-18,30.8,58.1
2021-1-1-7-19,30.8,58.3
2021-1-1-7-20,30.8,58.5
2021-1-1-7-21,30.9,58.5
2021-1-1-7-22,30.9,58.8
2021-1-1-7-23,30.9,58.9
2021-1-1-7-24,30.9,58.9
2021-1-1-7-25,30.9,58.8
2021-1-1-7-26,30.9,59.2
2021-1-1-7-27,30.9,59.60001
2021-1-1-7-28,30.9,59.8
2021-1-1-7-29,31.0,59.8
2021-1-1-7-30,31.0,59.3
2021-1-1-7-31,31.0,59.0
2021-1-1-7-32,31.0,59.0
2021-1-1-7-33,31.1,59.0
2021-1-1-7-34,31.1,59.1
2021-1-1-7-35,31.1,59.1
2021-1-1-7-36,31.1,59.1
2021-1-1-7-37,31.1,59.1
2021-1-1-7-38,31.1,59.1
2021-1-1-7-39,31.1,59.0
2021-1-1-7-40,31.2,58.9
2021-1-1-7-41,31.2,59.0
2021-1-1-7-42,31.2,57.4
2021-1-1-7-43,31.2,57.5
2021-1-1-7-44,31.2,56.9
2021-1-1-7-45,31.2,57.4
2021-1-1-7-46,31.3,57.9
2021-1-1-7-47,31.3,58.1
2021-1-1-7-48,31.3,56.7
2021-1-1-7-49,31.3,56.2
2021-1-1-7-50,31.3,55.9
2021-1-1-7-51,31.3,56.4
2021-1-1-7-52,31.3,56.2
